,Node,count,closeness,betweenness
207,break,3472,0.44637906868089083,0.0011299576320556702
208,suck,3471,0.44770384254920337,0.0009704323827054915
209,first,3444,0.4465598903153434,0.00107701903373826
210,part,3442,0.44335478282390794,0.0008945963809249074
211,second,3435,0.44724276753113007,0.001046297807783955
212,zoom,3430,0.45039127565291176,0.00042005017234864446
213,ask,3361,0.4444547822850763,0.001048510065405701
214,customize,3354,0.44941670847967885,0.0005380014578500425
215,toxic,3327,0.4483902255874347,0.0007427345884888824
216,wan,3318,0.44707533926064574,0.0007245701644499021
217,royal,3314,0.453656220322887,0.0007516567785778132
218,place,3283,0.44817988491368527,0.0013104688262679364
219,jump,3282,0.45499571387751214,0.0005738162962103671
220,creator,3260,0.4473404919465601,0.000894535009615988
221,tower,3253,0.4495858953444598,0.0007203405991876741
222,wait,3237,0.4465598903153434,0.0006981377068132987
223,everyday,3224,0.45064620609414796,0.0005197216608082625
224,send,3212,0.45020733852726813,0.0009378879437539817
225,laptop,3177,0.44988227907706796,0.0006233740505535798
226,expensive,3150,0.4498964023356564,0.0005655857772142825
227,boring,3148,0.45221040674008395,0.0006614461981925778
228,inappropriate,3095,0.44858672175791153,0.000837799785432567
229,fact,3058,0.44909278932029706,0.0008877639132406401
230,verification,3038,0.45592212006489996,0.000402695952457975
231,build,2993,0.4517684887459807,0.0008568690215386795
232,run,2983,0.4469498502994012,0.0009777189445916048
233,sister,2981,0.45584960875373753,0.0008077064301811763
234,school,2941,0.4552558848756314,0.0009011420497898588
235,rating,2936,0.4497693249223237,0.0006679223288100249
236,multiple,2928,0.44886772950793996,0.0006716854637719898
237,email,2924,0.4556466997329264,0.0006409977579004986
238,mad,2919,0.45058952994812135,0.000774780005348756
239,minute,2854,0.45091561261091184,0.0005827081873256004
240,wonderful,2850,0.45193945127719964,0.0006393339435453184
241,opinion,2850,0.44898023121025094,0.000714145200796268
242,acc,2845,0.4535126582278481,0.00041792336926291826
243,variety,2837,0.4538142436429273,0.0007447295891090415
244,code,2829,0.4527962085308057,0.0006019172180925077
245,house,2805,0.4553426746735297,0.0010395111468195644
246,example,2795,0.44517271371769385,0.0010158091148825504
247,allow,2781,0.4488114997964361,0.0007564614584699394
248,waste,2760,0.45034881528502296,0.0006434335631954698
249,earn,2750,0.4524959742351047,0.0004846251433982278
250,click,2728,0.45146961534826574,0.0005256625926840008
251,last,2697,0.44633736140525726,0.0008384335102163911
252,hell,2697,0.45094398993077406,0.0007035493226457888
253,loading,2687,0.4527246880429632,0.00039601776260031626
254,week,2666,0.45441861939943556,0.0009190491326863001
255,black,2638,0.457275047862157,0.0006506116771774958
256,sorry,2628,0.45219613782658086,0.0008609468404602901
257,storage,2598,0.45384298698419734,0.000486292840356828
258,okay,2591,0.45127058601253267,0.0006638945608329161
259,low,2572,0.4541450120420839,0.0005391903374451446
260,brother,2565,0.4539004845912647,0.0007202215186925062
261,learn,2554,0.45315415019762845,0.000677675918317639
262,least,2538,0.4461011673151751,0.0007075665657832194
263,home,2536,0.45008008542445277,0.0007333741522419932
264,press,2536,0.45355571731493494,0.0004630011465419955
265,bunch,2512,0.45433218146656945,0.0005595679696526914
266,single,2511,0.45017905384180434,0.0005901304150841875
267,quality,2509,0.4528105153401371,0.0006044299606104151
268,android,2507,0.4546492814314267,0.0005016034092719575
269,stay,2500,0.45081632011073014,0.000688571407153121
270,stupid,2489,0.4521533364884051,0.0007347633673578549
271,xbox,2468,0.45426017497147203,0.0005488150700060501
272,system,2448,0.4455325498974072,0.0008544165882840372
273,certain,2422,0.447969741489794,0.0005803704347522203
274,price,2397,0.45615431136009166,0.0005493315448516362
275,job,2394,0.4533118238754982,0.000658493498989593
276,parent,2364,0.44983991462113126,0.0007334428867287906
277,connect,2352,0.45433218146656945,0.0006129296620615333
278,bring,2348,0.4513985132921759,0.0008586657451773356
279,brookhaven,2347,0.4574210022342802,0.000697369710840741
280,pass,2346,0.4517400075652503,0.0005847710422509082
281,cousin,2339,0.4526388932756388,0.0005876797864057823
282,community,2338,0.45064620609414796,0.0008372451653360216
283,restart,2336,0.45415940421486295,0.00041816210694102664
284,become,2281,0.44892397331077905,0.0008054250830056992
285,block,2248,0.45211054325194017,0.0006789683605587716
286,purchase,2248,0.4540874524714829,0.0005980914514796612
287,end,2234,0.4539004845912647,0.000871981375779206
288,clothing,2233,0.45354136337742895,0.0004311427131842734
289,today,2233,0.4526245973090771,0.0005829374854820229
290,reset,2218,0.45587861051024303,0.00038665628515385943
291,suggest,2206,0.4490787164702933,0.0006000184228940505
292,young,2195,0.4521533364884051,0.0007029097806987456
293,dress,2195,0.45714376854126126,0.00048633114555916986
294,pick,2179,0.4517827306831437,0.0005141363988417281
295,city,2179,0.45405867815727774,0.0007167374277153961
296,rude,2177,0.45956259620318113,0.0005728765863959645
297,piggy,2164,0.4550968561448079,0.0004638006969775854
298,outfit,2146,0.45806430991497793,0.00048081045465512076
299,weird,2131,0.4539723770907248,0.0006760530688678712
300,stick,2121,0.45339787395596054,0.0005847682846405433
301,hair,2117,0.45730423128470227,0.0005408072387708564
302,understand,2109,0.45080213903743316,0.0006836188331522087
303,annoy,2099,0.45095817993014253,0.00046170259654002395
304,funny,2063,0.4591650379673833,0.0007674171037373233
305,amount,2061,0.45064620609414796,0.0006773575522705116
306,mini,2057,0.45501016002032,0.00040214693225860016
307,feature,2052,0.45067454951413566,0.0006649173433985315
308,entertain,2035,0.45377113545690584,0.0003284530033229699
309,point,2034,0.4512137527155946,0.00075131756916631
310,minecraft,2013,0.4534409112482202,0.000581849372825166
311,choice,2002,0.4536993066767974,0.0004000341458863956
312,adventure,1995,0.4582693783576362,0.0005888329907997689
313,horror,1977,0.450717071329727,0.00048268972004170406
314,support,1961,0.452710386656558,0.0008809785561728625
315,anyways,1958,0.44975520964097415,0.0004988454486336084
316,premium,1947,0.45563221314342034,0.0002985008839960636
317,enter,1941,0.45750861958881367,0.00040275376638978654
318,car,1922,0.46167971392674206,0.0009266178184917078
319,scary,1916,0.45537161196021736,0.0004981019765886104
320,watch,1907,0.45431777834136444,0.000619417758272612
321,small,1903,0.4501507727101395,0.0006282553589921735
322,care,1903,0.4526817865942258,0.0006441366436011998
323,walk,1890,0.45875348122539134,0.00039160882621078934
324,ruin,1872,0.4520820189274448,0.0005735105215073611
325,version,1863,0.4599165596919127,0.0006514801317848591
326,message,1859,0.4555308328035601,0.0007050080728204477
327,idea,1858,0.4544474393530997,0.0008116820382859574
328,adult,1856,0.4560381861575179,0.00047849491033562545
329,miss,1852,0.45427457444447966,0.0005244117094337616
330,card,1839,0.4564885009874498,0.00044356975254071507
331,worth,1838,0.4538142436429273,0.00041440133352657556
332,interesting,1835,0.4592386079600077,0.0004170761678765402
333,request,1828,0.45155496738822193,0.0005903121068740713
334,popular,1811,0.4532831477732793,0.0006703807962120766
335,swear,1810,0.45148383844748285,0.00043683678097369974
336,datum,1803,0.4601971677210109,0.00034519901849811463
337,face,1788,0.4523103143542482,0.0005363446126103766
338,top,1785,0.4527532935266799,0.0006801922453315449
339,developer,1781,0.4504903809883063,0.0006996477859992608
340,uninstall,1780,0.4554294975688817,0.0002820620263040959
341,next,1779,0.45621239614172476,0.0006376927969574429
342,less,1750,0.45415940421486295,0.00045340236932420804
343,group,1745,0.45385736002026855,0.0005196051158194017
344,text,1718,0.4601676139100279,0.0004097506105099675
345,write,1714,0.4541162304328538,0.0005038773463480836
