,Node,count,closeness,betweenness
88,stuff,981,0.46607978760567315,0.0025338030719774533
89,slow,973,0.46656875087424815,0.0016953485170898774
90,picture,971,0.4649428491775857,0.002142300592474289
91,find,962,0.46258927952291795,0.002835373494052516
92,loading,962,0.4719156762874929,0.001351273761786614
93,issue,956,0.46982181843791815,0.0021470198544435385
94,happen,942,0.46465138956606533,0.002252112852900087
95,someone,939,0.4713155291790307,0.0022152343883285633
96,expensive,934,0.46988800450799467,0.0017204460474355126
97,free,927,0.4683046683046683,0.0020780697110482776
98,tell,899,0.4649104467210259,0.0027300488597114224
99,wish,887,0.4710492868238949,0.003171313413968421
100,photo,866,0.46316739568145526,0.0014572294054663692
101,crash,855,0.4693590375008795,0.001336584610693969
102,recommend,850,0.4633604223102035,0.0020278600015856893
103,year,849,0.46863364945556724,0.0026373208813033795
104,hair,842,0.47889447236180904,0.0029237390417844403
105,internet,842,0.4669606607867843,0.0012838469091408288
106,creator,839,0.46748423265592154,0.0017155274400439382
107,cause,830,0.46436029514130583,0.0021100961451501156
108,track,827,0.47707931059143244,0.001894682886608174
109,option,817,0.47208265515533226,0.0027825779971220994
110,long,816,0.4658844891403031,0.0012746387845918548
111,breathing,811,0.47443282839058387,0.0016789849036563552
112,dress,794,0.4744665718349929,0.002010046426216376
113,nothing,785,0.46565684768951554,0.0017931979028710098
114,email,784,0.46906201659400926,0.0014242819964974702
115,connection,782,0.47521014389514177,0.0011378957646932988
116,send,780,0.4726177825008856,0.0016991039704088693
117,easy,778,0.4724169676368529,0.0018045695234262366
118,old,778,0.47015293537247166,0.0015859869967431218
119,talk,773,0.4720158494304111,0.0026055716303877816
120,enjoy,768,0.4686007305422872,0.0018155076218487214
121,reason,755,0.4686995011592777,0.0020117000401201107
122,awesome,750,0.4725508252461571,0.001426061529642554
123,wait,748,0.46640564916451094,0.0014170663566636609
124,join,747,0.470584085778781,0.0011776783795889147
125,little,739,0.47045133991537375,0.00228516368751367
126,gift,736,0.4732212527488118,0.001143887275251694
127,super,733,0.4724169676368529,0.0014843601104051025
128,stop,729,0.47081657138824196,0.001584985724581124
129,face,726,0.467255025565595,0.002264116422243096
130,volume,706,0.4786539427423405,0.0010362950683691634
131,feature,703,0.4678120617110799,0.002366270563543381
132,creepy,701,0.4761259010777246,0.0015363587505349767
133,outfit,690,0.47045133991537375,0.001534145659767898
134,sound,660,0.4781393348623853,0.0017544356179389306
135,fine,654,0.4702523614831524,0.0015575695354464265
136,quest,645,0.46992110453648916,0.0012539645364807752
137,able,641,0.47141544767154264,0.0023227523864766627
138,hacker,638,0.4767724413950829,0.0013448143174851358
139,black,617,0.47443282839058387,0.0019227209351196058
140,meet,611,0.47755744863626604,0.0013926355402200951
141,annoying,605,0.47531172069825434,0.001131453495552886
142,real,598,0.47275175395081853,0.0018717402873416368
143,mean,592,0.47035182965522104,0.0021721763523651545
144,kick,586,0.46992110453648916,0.0007976998545875522
145,password,581,0.4767383691845923,0.0007716894433852259
146,network,579,0.4725508252461571,0.0010572874127529476
147,overall,574,0.46715686274509804,0.0012104608952112552
148,first,573,0.4695242117117117,0.0012443793066854933
149,kinda,573,0.46939206304531383,0.001315781768130739
150,uninstall,566,0.4692930003517411,0.001240301043057474
151,kid,563,0.4728522823929685,0.0020700218893722464
152,edit,560,0.47463536108146565,0.0017007905718054686
153,message,559,0.4696233720520943,0.0011615258866433205
154,wifi,556,0.4666666666666667,0.0007780910673164898
155,breathe,555,0.47490567380935433,0.000925971871569472
156,age,552,0.481278407041339,0.0010839660820375226
157,instal,544,0.46939206304531383,0.0009344924620741578
158,sign,527,0.4717154575024749,0.0006650010889511134
159,bit,524,0.47450032007966425,0.0020919692117300206
160,ask,512,0.47385992328455745,0.0014557837268330915
161,wrong,510,0.47068369434840895,0.0010952974454125617
162,sorry,507,0.47670430184364726,0.0014118394600576754
163,camera,504,0.47490567380935433,0.0012426662280418076
164,hack,501,0.4752439980052718,0.0010946965018433369
165,jump,489,0.474567830973892,0.0007770342125371976
166,waste,479,0.4739945999715788,0.0012171642795440628
167,ill,478,0.4723166241857831,0.002614414892555516
168,call,475,0.4762278697886922,0.002290442329167479
169,save,473,0.4740282811056633,0.0010563729727566726
170,player,471,0.4783793474363571,0.0017520483841206168
171,tho,470,0.4713821368004522,0.0010616363068625238
172,right,467,0.4724169676368529,0.0013969142576871793
173,feel,465,0.47416305352192767,0.0018348048947896757
174,happy,461,0.47803654604084556,0.001356105805655436
175,click,459,0.46850200154505234,0.0006915204719055333
176,pay,459,0.47851660569543075,0.0012569636269367571
177,review,458,0.4688971673578407,0.0011969699299239924
178,style,458,0.48103547735794633,0.0019177170459526367
179,different,457,0.4694911675698501,0.0012753079686495554
180,name,456,0.4828459756803706,0.00231132856363571
181,hour,454,0.4684033141412723,0.0007813078588614663
182,listen,447,0.4717154575024749,0.0008469659278660661
183,check,444,0.470584085778781,0.0011204556736147768
184,live,444,0.47396092362344583,0.0011253949957224713
185,grab,444,0.47188229468769893,0.0006206948614037197
186,noise,444,0.4797554836389788,0.00098832456053874
187,type,440,0.47599001070281843,0.0013322498912488481
